Proj	DSO	DDO	UOffset	VOffset	Pivot	dTeta
90.62587	57.57766	139.82070	24.02207	-74.23769	0.13533	0.19810
91.12656	57.57706	139.82076	24.09409	-74.30465	0.13803	0.17501
91.62726	57.57665	139.82105	24.07922	-74.32787	0.13906	0.16696
92.12796	57.57558	139.82112	24.15105	-74.39778	0.14160	0.14253
92.62865	57.57488	139.82107	24.13634	-74.42188	0.14279	0.13398
93.12935	57.57287	139.81973	24.20837	-74.49310	0.14528	0.10833
93.63004	57.57183	139.81921	24.19382	-74.51688	0.14663	0.09960
94.13074	57.56911	139.81691	24.26673	-74.58516	0.14907	0.07392
94.63143	57.56793	139.81631	24.25337	-74.60728	0.15058	0.06529
95.13213	57.56483	139.81399	24.33021	-74.67035	0.15294	0.03977
95.63282	57.56346	139.81343	24.31832	-74.69063	0.15459	0.03121
96.13352	57.55979	139.81111	24.39866	-74.74801	0.15686	0.00625
96.63421	57.55823	139.81050	24.38800	-74.76647	0.15868	-0.00202
97.13491	57.55417	139.80750	24.47047	-74.81915	0.16094	-0.02612
97.63561	57.55246	139.80643	24.46017	-74.83642	0.16294	-0.03408
98.13630	57.54780	139.80164	24.54177	-74.88608	0.16516	-0.05712
98.63700	57.54579	139.79981	24.53075	-74.90264	0.16731	-0.06471
99.13769	57.54033	139.79249	24.60963	-74.95050	0.16934	-0.08685
99.63839	57.53817	139.78984	24.59837	-74.96638	0.17158	-0.09418
100.13908	57.53274	139.78070	24.67781	-75.01170	0.17332	-0.11572
100.63978	57.53072	139.77779	24.66768	-75.02670	0.17561	-0.12301
101.14047	57.52588	139.76847	24.75015	-75.07008	0.17696	-0.14502
101.64117	57.52408	139.76571	24.74107	-75.08486	0.17932	-0.15274
102.14186	57.52005	139.75710	24.82478	-75.12792	0.18039	-0.17632
102.64256	57.51857	139.75478	24.81601	-75.14257	0.18287	-0.18455
103.14325	57.51534	139.74753	24.90028	-75.18439	0.18390	-0.20889
103.64395	57.51397	139.74560	24.89218	-75.19817	0.18657	-0.21695
104.14465	57.51078	139.73910	24.97763	-75.23678	0.18768	-0.24021
104.64534	57.50929	139.73725	24.97012	-75.24942	0.19056	-0.24780
105.14604	57.50580	139.73085	25.05671	-75.28422	0.19174	-0.26949
105.64673	57.50423	139.72916	25.04999	-75.29544	0.19481	-0.27648
106.14743	57.50067	139.72377	25.13854	-75.32635	0.19596	-0.29644
106.64812	57.49911	139.72268	25.13306	-75.33646	0.19917	-0.30288
107.14882	57.49575	139.71955	25.22517	-75.36392	0.20019	-0.32132
107.64951	57.49432	139.71948	25.22125	-75.37275	0.20353	-0.32727
108.15021	57.49150	139.71948	25.31541	-75.39632	0.20442	-0.34427
108.65090	57.49025	139.72041	25.31177	-75.40398	0.20788	-0.34974
109.15160	57.48796	139.72313	25.40549	-75.42464	0.20864	-0.36541
109.65229	57.48688	139.72494	25.40207	-75.43169	0.21223	-0.37051
110.15299	57.48507	139.72987	25.49613	-75.45160	0.21282	-0.38569
110.65369	57.48415	139.73222	25.49363	-75.45873	0.21652	-0.39097
111.15438	57.48293	139.73799	25.59039	-75.47839	0.21689	-0.40716
111.65508	57.48216	139.74028	25.58921	-75.48502	0.22066	-0.41282
112.15577	57.48126	139.74533	25.68774	-75.50178	0.22073	-0.42971
112.65647	57.48056	139.74732	25.68710	-75.50687	0.22459	-0.43540
113.15716	57.48014	139.75159	25.78578	-75.51775	0.22443	-0.45204
113.65786	57.47970	139.75337	25.78546	-75.52055	0.22840	-0.45757
114.15855	57.48000	139.75676	25.88358	-75.52513	0.22815	-0.47377
114.65925	57.47968	139.75814	25.88334	-75.52619	0.23229	-0.47917
115.15994	57.48003	139.76019	25.98068	-75.52676	0.23211	-0.49509
115.66064	57.47958	139.76110	25.98059	-75.52709	0.23646	-0.50048
116.16134	57.47944	139.76162	26.07776	-75.52674	0.23645	-0.51664
116.66203	57.47878	139.76197	26.07826	-75.52722	0.24101	-0.52224
117.16273	57.47800	139.76076	26.17581	-75.52886	0.24106	-0.53940
117.66342	57.47709	139.76054	26.17651	-75.53080	0.24577	-0.54550
118.16412	57.47567	139.75784	26.27211	-75.53803	0.24571	-0.56425
118.66481	57.47457	139.75730	26.27199	-75.54229	0.25052	-0.57092
119.16551	57.47267	139.75393	26.36255	-75.55656	0.25021	-0.59132
119.66620	57.47143	139.75324	26.36056	-75.56326	0.25509	-0.59850
120.16690	57.46934	139.74948	26.44339	-75.58475	0.25451	-0.62054
120.66759	57.46809	139.74871	26.43899	-75.59378	0.25946	-0.62838
121.16829	57.46606	139.74463	26.51383	-75.62180	0.25868	-0.65283
121.66898	57.46481	139.74368	26.50766	-75.63296	0.26374	-0.66161
122.16968	57.46266	139.73883	26.57763	-75.66623	0.26284	-0.68850
122.67038	57.46132	139.73764	26.57087	-75.67855	0.26801	-0.69789
123.17107	57.45895	139.73218	26.63873	-75.71327	0.26699	-0.72606
123.67177	57.45753	139.73088	26.63201	-75.72537	0.27228	-0.73575
124.17246	57.45501	139.72536	26.69825	-75.75805	0.27110	-0.76469
124.67316	57.45358	139.72416	26.69108	-75.76889	0.27648	-0.77451
125.17385	57.45121	139.71910	26.75366	-75.79597	0.27508	-0.80317
125.67455	57.44985	139.71814	26.74564	-75.80422	0.28051	-0.81264
126.17524	57.44774	139.71425	26.80508	-75.82259	0.27886	-0.83978
126.67594	57.44645	139.71392	26.79686	-75.82758	0.28438	-0.84852
127.17663	57.44457	139.71213	26.85602	-75.83560	0.28258	-0.87324
127.67733	57.44338	139.71259	26.84911	-75.83698	0.28821	-0.88117
128.17803	57.44190	139.71310	26.91243	-75.83459	0.28630	-0.90368
128.67872	57.44084	139.71431	26.90793	-75.83263	0.29203	-0.91090
129.17942	57.43981	139.71686	26.97660	-75.82063	0.28998	-0.93112
129.68011	57.43894	139.71871	26.97391	-75.81545	0.29580	-0.93743
130.18081	57.43863	139.72304	27.04515	-75.79424	0.29353	-0.95487
130.68150	57.43800	139.72545	27.04364	-75.78642	0.29939	-0.96036
131.18220	57.43834	139.73104	27.11640	-75.75926	0.29676	-0.97617
131.68289	57.43787	139.73369	27.11570	-75.75019	0.30262	-0.98145
132.18359	57.43861	139.73958	27.18834	-75.72084	0.29962	-0.99745
132.68428	57.43823	139.74222	27.18781	-75.71162	0.30551	-1.00309
133.18498	57.43905	139.74751	27.25933	-75.68293	0.30228	-1.02051
133.68567	57.43861	139.74972	27.25900	-75.67429	0.30826	-1.02668
134.18637	57.43908	139.75342	27.32948	-75.64751	0.30499	-1.04559
134.68707	57.43844	139.75504	27.32921	-75.63950	0.31111	-1.05219
135.18776	57.43829	139.75706	27.39639	-75.61431	0.30786	-1.07204
