Proj	DSO	DDO	UOffset	VOffset	Pivot	dTeta
279.88873	58.62983	143.89165	25.64055	37.22222	0.27645	-0.51270
280.38943	58.62984	143.89355	25.64422	37.23696	0.27378	-0.49485
280.89013	58.62987	143.89550	25.64858	37.25091	0.27113	-0.47699
281.39082	58.62993	143.89750	25.65363	37.26405	0.26849	-0.45912
281.89152	58.63002	143.89955	25.65936	37.27637	0.26586	-0.44126
282.39221	58.63014	143.90165	25.66577	37.28785	0.26324	-0.42341
282.89291	58.63028	143.90378	25.67285	37.29846	0.26063	-0.40559
283.39360	58.63045	143.90594	25.68057	37.30819	0.25803	-0.38780
283.89430	58.63064	143.90813	25.68892	37.31704	0.25545	-0.37004
284.39499	58.63086	143.91034	25.69787	37.32500	0.25287	-0.35233
284.89569	58.63111	143.91258	25.70739	37.33204	0.25030	-0.33466
285.39638	58.63137	143.91483	25.71745	37.33818	0.24775	-0.31704
285.89708	58.63167	143.91710	25.72804	37.34339	0.24520	-0.29947
286.39777	58.63198	143.91939	25.73914	37.34768	0.24267	-0.28195
286.89847	58.63233	143.92169	25.75072	37.35105	0.24015	-0.26449
287.39917	58.63269	143.92400	25.76278	37.35347	0.23764	-0.24708
287.89986	58.63309	143.92632	25.77529	37.35495	0.23514	-0.22973
288.40056	58.63351	143.92866	25.78824	37.35547	0.23265	-0.21244
288.90125	58.63396	143.93102	25.80160	37.35503	0.23017	-0.19521
289.40195	58.63444	143.93340	25.81536	37.35360	0.22770	-0.17805
289.90264	58.63496	143.93581	25.82949	37.35117	0.22524	-0.16095
290.40334	58.63552	143.93827	25.84397	37.34775	0.22280	-0.14391
290.90403	58.63612	143.94077	25.85878	37.34333	0.22036	-0.12695
291.40473	58.63676	143.94332	25.87388	37.33791	0.21794	-0.11005
291.90542	58.63744	143.94593	25.88925	37.33148	0.21553	-0.09323
292.40612	58.63818	143.94860	25.90485	37.32406	0.21314	-0.07649
292.90682	58.63896	143.95134	25.92067	37.31564	0.21076	-0.05982
293.40751	58.63980	143.95415	25.93669	37.30624	0.20839	-0.04323
293.90821	58.64070	143.95705	25.95288	37.29587	0.20603	-0.02673
294.40890	58.64165	143.96002	25.96923	37.28455	0.20369	-0.01031
294.90960	58.64266	143.96309	25.98574	37.27230	0.20136	0.00602
295.41029	58.64374	143.96625	26.00238	37.25914	0.19905	0.02227
295.91099	58.64488	143.96952	26.01918	37.24509	0.19674	0.03843
296.41168	58.64608	143.97288	26.03614	37.23018	0.19446	0.05450
296.91238	58.64736	143.97636	26.05326	37.21442	0.19218	0.07048
297.41307	58.64870	143.97994	26.07056	37.19781	0.18992	0.08638
297.91377	58.65011	143.98363	26.08806	37.18037	0.18767	0.10218
298.41446	58.65158	143.98742	26.10579	37.16211	0.18544	0.11788
298.91516	58.65313	143.99133	26.12376	37.14301	0.18321	0.13347
299.41586	58.65474	143.99533	26.14200	37.12308	0.18100	0.14895
299.91655	58.65643	143.99944	26.16055	37.10232	0.17880	0.16430
300.41725	58.65818	144.00364	26.17942	37.08072	0.17661	0.17952
300.91794	58.65999	144.00794	26.19864	37.05829	0.17443	0.19460
301.41864	58.66187	144.01232	26.21824	37.03502	0.17226	0.20954
301.91933	58.66381	144.01678	26.23823	37.01092	0.17009	0.22433
302.42003	58.66581	144.02132	26.25866	36.98601	0.16794	0.23896
302.92072	58.66786	144.02593	26.27872	36.95951	0.16578	0.25310
303.42142	58.66997	144.03059	26.30020	36.93302	0.16364	0.26742
303.92211	58.67214	144.03532	26.32217	36.90579	0.16150	0.28159
304.42281	58.67436	144.04009	26.34466	36.87785	0.15936	0.29560
304.92350	58.67662	144.04490	26.36765	36.84920	0.15722	0.30945
305.42420	58.67893	144.04974	26.39116	36.81987	0.15509	0.32313
305.92490	58.68129	144.05460	26.41518	36.78986	0.15297	0.33665
306.42559	58.68368	144.05948	26.43972	36.75919	0.15084	0.35000
306.92629	58.68611	144.06436	26.46476	36.72787	0.14872	0.36319
307.42698	58.68858	144.06923	26.49030	36.69593	0.14660	0.37621
307.92768	58.69108	144.07410	26.51633	36.66337	0.14449	0.38908
308.42837	58.69362	144.07896	26.54285	36.63021	0.14238	0.40179
